term,count_SI,count_SFI,log_odds_SI_minus_SFI,z
half,1,2,-0.5228700380039051,-0.42869557457406104
choosing,50,64,-0.08186738730369036,-0.43378322494585225
goods,0,1,-4.4498217518699,-0.44279551735833306
8-10,0,1,-4.4498217518699,-0.44279551735833306
going,0,1,-4.4498217518699,-0.44279551735833306
underrepresented,0,1,-4.4498217518699,-0.44279551735833306
selfish-iterated,0,1,-4.4498217518699,-0.44279551735833306
gaining,0,1,-4.4498217518699,-0.44279551735833306
behind,0,1,-4.4498217518699,-0.44279551735833306
unprofitable,0,1,-4.4498217518699,-0.44279551735833306
keep,0,1,-4.4498217518699,-0.44279551735833306
below,0,1,-4.4498217518699,-0.44279551735833306
incentivizes,0,1,-4.4498217518699,-0.44279551735833306
open,0,1,-4.4498217518699,-0.44279551735833306
required,0,1,-4.4498217518699,-0.44279551735833306
tends,0,1,-4.4498217518699,-0.44279551735833306
aiming,0,1,-4.4498217518699,-0.44279551735833306
socially,0,1,-4.4498217518699,-0.44279551735833306
context,0,1,-4.4498217518699,-0.44279551735833306
responsible,0,1,-4.4498217518699,-0.44279551735833306
leaving,0,1,-4.4498217518699,-0.44279551735833306
highest,0,1,-4.4498217518699,-0.44279551735833306
incentive,0,1,-4.4498217518699,-0.44279551735833306
imprisonment,0,1,-4.4498217518699,-0.44279551735833306
apparent,0,1,-4.4498217518699,-0.44279551735833306
trends,0,1,-4.4498217518699,-0.44279551735833306
riders,0,1,-4.4498217518699,-0.44279551735833306
participating,0,1,-4.4498217518699,-0.44279551735833306
positive,0,1,-4.4498217518699,-0.44279551735833306
considered,0,1,-4.4498217518699,-0.44279551735833306
deviants,0,1,-4.4498217518699,-0.44279551735833306
10m,0,1,-4.4498217518699,-0.44279551735833306
encouraged,0,1,-4.4498217518699,-0.44279551735833306
performers,0,1,-4.4498217518699,-0.44279551735833306
irrational,0,1,-4.4498217518699,-0.44279551735833306
cheat,0,1,-4.4498217518699,-0.44279551735833306
associated,0,1,-4.4498217518699,-0.44279551735833306
lag,0,1,-4.4498217518699,-0.44279551735833306
system,0,1,-4.4498217518699,-0.44279551735833306
participate,0,1,-4.4498217518699,-0.44279551735833306
trustworthy,0,1,-4.4498217518699,-0.44279551735833306
makes,0,1,-4.4498217518699,-0.44279551735833306
irrelevant,0,1,-4.4498217518699,-0.44279551735833306
helps,0,1,-4.4498217518699,-0.44279551735833306
reflects,0,1,-4.4498217518699,-0.44279551735833306
implications,0,1,-4.4498217518699,-0.44279551735833306
excessively,0,1,-4.4498217518699,-0.44279551735833306
