seed,round_number,institution_choice,n,mean_prop,median_prop,std_prop,mean_contribution,mean_wealth
seed2,18,SI,12,0.2271446655808016,0.1549228365504219,0.22225174282510848,29109061.583333332,181638270.35
seed2,19,SI,12,0.3020252592545068,0.14350734240417523,0.5121751244164608,30764343.5,200095890.86666664
seed2,20,SI,12,0.12729837135360797,0.0697345990722964,0.1575456542872977,17166031.083333332,210391828.01666668
seed2,21,SI,12,0.3052325810199498,0.09892601382016405,0.5886660480142574,35839261.583333336,231884626.9666667
seed2,22,SI,12,0.35550168312628583,0.05046328808203715,0.6791673217201347,26375201.416666668,247696191.4
seed2,23,SI,12,0.505821699984092,0.0652877452333207,0.9655807340449063,63473993.25,285778650.6833334
seed2,24,SI,12,0.1387231529099147,0.0402169515219888,0.20797757623981766,20337708.916666668,297980485.20000005
seed2,25,SI,12,0.18866066731399533,0.050759456875188055,0.319867492038544,27218725.666666668,314311657.6000001
seed2,26,SI,12,0.4223808496230139,0.08276851350652925,1.0800249449018422,45142122.833333336,341395971.88333344
seed2,27,SI,12,0.5458565564828919,0.0880704278567625,1.0581684210479168,103336116.08333333,403396778.5333335
seed2,28,SI,12,0.2356512696363404,0.15880582877607846,0.23009056534965075,62075875.25,440641903.1000001
seed2,29,SI,12,0.5200637546007446,0.09718537409997115,0.9894769255457959,115412334.75,509888438.6166668
seed2,30,SI,12,0.47344985595031486,0.15155385227470225,0.9479755946595955,176949869.08333334,616057386.9
