term,count_SI,count_SFI,log_odds_SI_minus_SFI,z
current payoff,2,0,5.4705900819237,0.5457032217010385
observed previous,2,0,5.4705900819237,0.5457032217010385
previous high,2,0,5.4705900819237,0.5457032217010385
follow similar,2,0,5.4705900819237,0.5457032217010385
explore options,2,0,5.4705900819237,0.5457032217010385
payoff already,2,0,5.4705900819237,0.5457032217010385
choose high,2,0,5.4705900819237,0.5457032217010385
similar strategy,2,0,5.4705900819237,0.5457032217010385
contribution received,2,0,5.4705900819237,0.5457032217010385
insufficient funds,2,0,5.4705900819237,0.5457032217010385
around billion,2,0,5.4705900819237,0.5457032217010385
strategy within,2,0,5.4705900819237,0.5457032217010385
example others,2,0,5.4705900819237,0.5457032217010385
high cumulative,2,0,5.4705900819237,0.5457032217010385
strategy given,2,0,5.4705900819237,0.5457032217010385
contribution peer,2,0,5.4705900819237,0.5457032217010385
level maintain,2,0,5.4705900819237,0.5457032217010385
strategy current,2,0,5.4705900819237,0.5457032217010385
deviate norm,2,0,5.4705900819237,0.5457032217010385
significantly maintain,2,0,5.4705900819237,0.5457032217010385
member institution,2,0,5.4705900819237,0.5457032217010385
similar strategies,2,0,5.4705900819237,0.5457032217010385
strategy incentives,2,0,5.4705900819237,0.5457032217010385
strategy optimal,2,0,5.4705900819237,0.5457032217010385
cooperate low-contributors,2,0,5.4705900819237,0.5457032217010385
institution framework,2,0,5.4705900819237,0.5457032217010385
emerging peers,2,0,5.4705900819237,0.5457032217010385
mcpr large,2,0,5.4705900819237,0.5457032217010385
consistency avoid,2,0,5.4705900819237,0.5457032217010385
amount reduce,2,0,5.4705900819237,0.5457032217010385
strategy exceptions,2,0,5.4705900819237,0.5457032217010385
future stage,2,0,5.4705900819237,0.5457032217010385
considering marginal,2,0,5.4705900819237,0.5457032217010385
players follow,2,0,5.4705900819237,0.5457032217010385
return previous,2,0,5.4705900819237,0.5457032217010385
high contributor,2,0,5.4705900819237,0.5457032217010385
average recent,2,0,5.4705900819237,0.5457032217010385
incentives framework,2,0,5.4705900819237,0.5457032217010385
historical high,2,0,5.4705900819237,0.5457032217010385
reward free-riders,2,0,5.4705900819237,0.5457032217010385
strategy observations,2,0,5.4705900819237,0.5457032217010385
